w782,tor,tor (2),tor (3),w782 (2),w782 (3),red,hbtr,hbtr (2),hbtr (3)
2023/5/30,1.2301,1.6038,0.03%,限制大额申购,开放赎回,,,,
2023/5/29,1.2297,1.6034,0.02%,限制大额申购,开放赎回,,,,
2023/5/26,1.2295,1.6032,0.00%,限制大额申购,开放赎回,,,,
2023/5/25,1.2295,1.6032,0.00%,限制大额申购,开放赎回,,,,
2023/5/24,1.2295,1.6032,0.02%,限制大额申购,开放赎回,,,,
2023/5/23,1.2293,1.603,0.05%,限制大额申购,开放赎回,,,,
2023/5/22,1.2287,1.6024,0.04%,限制大额申购,开放赎回,,,,
2023/5/19,1.2282,1.6019,0.01%,限制大额申购,开放赎回,,,,
2023/5/18,1.2281,1.6018,-0.01%,限制大额申购,开放赎回,,,,
2023/5/17,1.2282,1.6019,0.00%,限制大额申购,开放赎回,,,,
2023/5/16,1.2282,1.6019,0.00%,限制大额申购,开放赎回,,,,
2023/5/15,1.2282,1.6019,0.02%,限制大额申购,开放赎回,,,,
2023/5/12,1.2279,1.6016,0.02%,限制大额申购,开放赎回,,,,
2023/5/11,1.2277,1.6014,0.06%,限制大额申购,开放赎回,,,,
2023/5/10,1.227,1.6007,0.06%,限制大额申购,开放赎回,,,,
2023/5/9,1.2263,1.6,0.02%,限制大额申购,开放赎回,,,,
2023/5/8,1.226,1.5997,0.03%,限制大额申购,开放赎回,,,,
2023/5/5,1.2256,1.5993,0.08%,限制大额申购,开放赎回,,,,
2023/5/4,1.2246,1.5983,0.11%,限制大额申购,开放赎回,,,,
2023/4/28,1.2232,1.5969,0.04%,限制大额申购,开放赎回,,,,
2023/4/27,1.2227,1.5964,0.07%,限制大额申购,开放赎回,,,,
2023/4/26,1.2219,1.5956,0.03%,限制大额申购,开放赎回,,,,
2023/4/25,1.2215,1.5952,0.03%,限制大额申购,开放赎回,,,,
2023/4/24,1.2211,1.5948,0.06%,限制大额申购,开放赎回,,,,
2023/4/21,1.2204,1.5941,0.04%,限制大额申购,开放赎回,,,,
2023/4/20,1.2199,1.5936,0.02%,限制大额申购,开放赎回,,,,
2023/4/19,1.2196,1.5933,0.04%,限制大额申购,开放赎回,,,,
2023/4/18,1.2191,1.5928,0.02%,限制大额申购,开放赎回,,,,
2023/4/17,1.2188,1.5925,0.04%,限制大额申购,开放赎回,,,,
2023/4/14,1.2183,1.592,0.02%,限制大额申购,开放赎回,每份派现金0.0072元,,,
2023/4/13,1.2252,1.5917,0.02%,限制大额申购,开放赎回,,,,
2023/4/12,1.2249,1.5914,0.05%,限制大额申购,开放赎回,,,,
2023/4/11,1.2243,1.5908,0.05%,限制大额申购,开放赎回,,,,
2023/4/10,1.2237,1.5902,0.05%,限制大额申购,开放赎回,,,,
2023/4/7,1.2231,1.5896,0.02%,限制大额申购,开放赎回,,,,
2023/4/6,1.2229,1.5894,0.02%,限制大额申购,开放赎回,,,,
2023/4/4,1.2226,1.5891,0.02%,限制大额申购,开放赎回,,,,
2023/4/3,1.2224,1.5889,0.06%,限制大额申购,开放赎回,,,,
2023/3/31,1.2217,1.5882,0.04%,限制大额申购,开放赎回,,,,
2023/3/30,1.2212,1.5877,0.02%,限制大额申购,开放赎回,,,,
2023/3/29,1.221,1.5875,0.02%,限制大额申购,开放赎回,,,,
2023/3/28,1.2207,1.5872,0.03%,限制大额申购,开放赎回,,,,
2023/3/27,1.2203,1.5868,0.04%,限制大额申购,开放赎回,,,,
2023/3/24,1.2198,1.5863,-0.02%,限制大额申购,开放赎回,,,,
2023/3/23,1.22,1.5865,0.02%,限制大额申购,开放赎回,,,,
2023/3/22,1.2197,1.5862,0.01%,限制大额申购,开放赎回,,,,
2023/3/21,1.2196,1.5861,0.03%,限制大额申购,开放赎回,,,,
2023/3/20,1.2192,1.5857,0.08%,限制大额申购,开放赎回,,,,
2023/3/17,1.2182,1.5847,0.04%,限制大额申购,开放赎回,,,,
2023/3/16,1.2177,1.5842,0.02%,限制大额申购,开放赎回,,,,
2023/3/15,1.2174,1.5839,0.01%,限制大额申购,开放赎回,,,,
2023/3/14,1.2173,1.5838,0.03%,限制大额申购,开放赎回,,,,
2023/3/13,1.2169,1.5834,0.06%,限制大额申购,开放赎回,,,,
2023/3/10,1.2162,1.5827,0.05%,限制大额申购,开放赎回,,,,
2023/3/9,1.2156,1.5821,0.05%,限制大额申购,开放赎回,,,,
2023/3/8,1.215,1.5815,0.07%,限制大额申购,开放赎回,,,,
2023/3/7,1.2141,1.5806,0.07%,限制大额申购,开放赎回,,,,
2023/3/6,1.2133,1.5798,0.10%,限制大额申购,开放赎回,,,,
2023/3/3,1.2121,1.5786,-0.01%,限制大额申购,开放赎回,,,,
2023/3/2,1.2122,1.5787,0.02%,限制大额申购,开放赎回,,,,
2023/3/1,1.212,1.5785,0.02%,限制大额申购,开放赎回,,,,
2023/2/28,1.2118,1.5783,0.00%,限制大额申购,开放赎回,,,,
2023/2/27,1.2118,1.5783,0.00%,限制大额申购,开放赎回,,,,
2023/2/24,1.2118,1.5783,0.01%,限制大额申购,开放赎回,,,,
2023/2/23,1.2117,1.5782,0.02%,限制大额申购,开放赎回,,,,
2023/2/22,1.2114,1.5779,0.02%,限制大额申购,开放赎回,,,,
2023/2/21,1.2112,1.5777,-0.04%,限制大额申购,开放赎回,,,,
2023/2/20,1.2117,1.5782,-0.02%,限制大额申购,开放赎回,,,,
2023/2/17,1.2119,1.5784,0.06%,限制大额申购,开放赎回,,,,
2023/2/16,1.2112,1.5777,0.08%,限制大额申购,开放赎回,,,,
2023/2/15,1.2102,1.5767,0.04%,限制大额申购,开放赎回,,,,
2023/2/14,1.2097,1.5762,0.05%,限制大额申购,开放赎回,,,,
2023/2/13,1.2091,1.5756,0.09%,限制大额申购,开放赎回,,,,
2023/2/10,1.208,1.5745,0.07%,限制大额申购,开放赎回,,,,
2023/2/9,1.2072,1.5737,0.07%,限制大额申购,开放赎回,,,,
2023/2/8,1.2064,1.5729,0.06%,限制大额申购,开放赎回,,,,
2023/2/7,1.2057,1.5722,0.05%,限制大额申购,开放赎回,,,,
2023/2/6,1.2051,1.5716,0.06%,限制大额申购,开放赎回,,,,
2023/2/3,1.2044,1.5709,0.07%,限制大额申购,开放赎回,,,,
2023/2/2,1.2036,1.5701,0.06%,限制大额申购,开放赎回,,,,
2023/2/1,1.2029,1.5694,0.01%,限制大额申购,开放赎回,,,,
2023/1/31,1.2028,1.5693,0.03%,限制大额申购,开放赎回,,,,
2023/1/30,1.2024,1.5689,0.11%,限制大额申购,开放赎回,,,,
2023/1/20,1.2011,1.5676,0.02%,限制大额申购,开放赎回,,,,
2023/1/19,1.2009,1.5674,0.01%,限制大额申购,开放赎回,,,,
2023/1/18,1.2008,1.5673,0.01%,限制大额申购,开放赎回,,,,
2023/1/17,1.2007,1.5672,0.00%,限制大额申购,开放赎回,,,,
2023/1/16,1.2007,1.5672,-0.06%,限制大额申购,开放赎回,,,,
2023/1/13,1.2014,1.5679,-0.02%,限制大额申购,开放赎回,每份派现金0.0047元,,,
2023/1/12,1.2063,1.5681,0.02%,限制大额申购,开放赎回,,,,
2023/1/11,1.2061,1.5679,-0.06%,限制大额申购,开放赎回,,,,
2023/1/10,1.2068,1.5686,-0.06%,限制大额申购,开放赎回,,,,
2023/1/9,1.2075,1.5693,0.02%,限制大额申购,开放赎回,,,,
2023/1/6,1.2072,1.569,0.02%,限制大额申购,开放赎回,,,,
2023/1/5,1.2069,1.5687,0.10%,限制大额申购,开放赎回,,,,
2023/1/4,1.2057,1.5675,0.12%,限制大额申购,开放赎回,,,,
2023/1/3,1.2042,1.566,0.11%,限制大额申购,开放赎回,,,,
2022/12/31,1.203,1.5648,0.01%,限制大额申购,开放赎回,,,,
2022/12/30,1.2029,1.5647,0.06%,限制大额申购,开放赎回,,,,
2022/12/29,1.2022,1.564,0.07%,限制大额申购,开放赎回,,,,
2022/12/28,1.2013,1.5631,0.03%,限制大额申购,开放赎回,,,,
2022/12/27,1.2009,1.5627,0.05%,限制大额申购,开放赎回,,,,
2022/12/26,1.2003,1.5621,0.08%,限制大额申购,开放赎回,,,,
2022/12/23,1.1994,1.5612,0.09%,限制大额申购,开放赎回,,,,
2022/12/22,1.1983,1.5601,0.07%,限制大额申购,开放赎回,,,,
2022/12/21,1.1975,1.5593,0.06%,限制大额申购,开放赎回,,,,
2022/12/20,1.1968,1.5586,0.07%,限制大额申购,开放赎回,,,,
2022/12/19,1.196,1.5578,0.09%,限制大额申购,开放赎回,,,,
2022/12/16,1.1949,1.5567,0.01%,限制大额申购,开放赎回,,,,
2022/12/15,1.1948,1.5566,0.03%,限制大额申购,开放赎回,,,,
2022/12/14,1.1944,1.5562,0.00%,限制大额申购,开放赎回,,,,
2022/12/13,1.1944,1.5562,-0.31%,限制大额申购,开放赎回,,,,
2022/12/12,1.1981,1.5599,-0.15%,限制大额申购,开放赎回,,,,
2022/12/9,1.1999,1.5617,-0.12%,限制大额申购,开放赎回,,,,
2022/12/8,1.2013,1.5631,-0.10%,限制大额申购,开放赎回,,,,
2022/12/7,1.2025,1.5643,-0.23%,限制大额申购,开放赎回,,,,
2022/12/6,1.2053,1.5671,-0.17%,限制大额申购,开放赎回,,,,
2022/12/5,1.2073,1.5691,-0.06%,限制大额申购,开放赎回,,,,
2022/12/2,1.208,1.5698,-0.02%,限制大额申购,开放赎回,,,,
2022/12/1,1.2082,1.57,-0.10%,限制大额申购,开放赎回,,,,
2022/11/30,1.2094,1.5712,-0.12%,限制大额申购,开放赎回,,,,
2022/11/29,1.2108,1.5726,-0.20%,限制大额申购,开放赎回,,,,
2022/11/28,1.2132,1.575,-0.03%,限制大额申购,开放赎回,,,,
2022/11/25,1.2136,1.5754,0.01%,限制大额申购,开放赎回,,,,
2022/11/24,1.2135,1.5753,0.16%,限制大额申购,开放赎回,,,,
2022/11/23,1.2116,1.5734,0.04%,限制大额申购,开放赎回,,,,
